Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,67,0,8,8.165479417902025,6.722807999949509,10.849380999957248,7982.0,1.133972031798662,0.0,8,8,9,9,9,9,11,11,11,11,11
GET,/admin/stats,326,0,74,76.83642831288635,66.62063500004933,158.17954999999984,2815.9386503067485,5.517535557706922,0.0,74,75,77,78,86,97,120,130,160,160,160
GET,/admin/users?page=1&limit=20,29,0,7,7.694621793085577,6.576934000122492,11.544169999979204,7119.0,0.4908237152561372,0.0,7,8,8,9,9,9,12,12,12,12,12
GET,/admin/users?page=1&limit=20&is_active=false,4,0,7.298912000123892,7.814157500007468,7.298912000123892,8.424430999980359,7228.0,0.06769982279394995,0.0,8,8,8,8,8,8,8,8,8,8,8
GET,/admin/users?page=1&limit=20&is_active=true,3,0,7.049815999948805,7.588240666715744,7.049815999948805,8.550071000058779,7119.0,0.05077486709546247,0.0,7,7,9,9,9,9,9,9,9,9,9
GET,/admin/users?page=2&limit=20,21,0,8,7.825013142884191,6.8089339999914955,11.94086900000002,7205.0,0.3554240696682373,0.0,8,8,8,8,9,9,12,12,12,12,12
GET,/admin/users?page=2&limit=20&is_active=false,5,0,7,6.882241600010275,5.759683000178484,7.483891000106269,59.0,0.08462477849243745,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/admin/users?page=2&limit=20&is_active=true,3,0,7.300770999904671,7.692628999961926,7.300770999904671,8.35061800000858,7195.0,0.05077486709546247,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/admin/users?page=3&limit=20,20,0,8,7.796134400007304,6.422264999969229,9.650983000028646,7150.0,0.3384991139697498,0.0,8,8,8,9,9,10,10,10,10,10,10
GET,/admin/users?page=3&limit=20&is_active=false,9,0,7,6.717514333318933,5.872672999885253,7.203056999969704,59.0,0.15232460128638742,0.0,7,7,7,7,7,7,7,7,7,7,7
GET,/admin/users?page=3&limit=20&is_active=true,6,0,8,8.428627333330496,7.119723999949201,9.195106999982272,7097.0,0.10154973419092495,0.0,8,8,9,9,9,9,9,9,9,9,9
GET,/admin/users?page=4&limit=20,19,0,8,8.006703526306362,6.5005090000340715,11.72416899999007,7224.0,0.3215741582712623,0.0,8,8,8,9,10,12,12,12,12,12,12
GET,/admin/users?page=4&limit=20&is_active=false,4,0,7,7.291424250013279,6.660418000024038,7.892710000078296,59.0,0.06769982279394995,0.0,7,7,8,8,8,8,8,8,8,8,8
GET,/admin/users?page=4&limit=20&is_active=true,3,0,9,8.486730666618314,7.499303000031432,9.437545999844588,7241.0,0.05077486709546247,0.0,9,9,9,9,9,9,9,9,9,9,9
GET,/admin/users?page=5&limit=20,24,0,7,7.724273250000617,6.378965999829234,11.326594999900408,7088.0,0.4061989367636998,0.0,8,8,8,8,9,9,11,11,11,11,11
GET,/admin/users?page=5&limit=20&is_active=false,3,0,6,6.359911000042,5.8821439999974245,7.222182000077737,59.0,0.05077486709546247,0.0,6,6,7,7,7,7,7,7,7,7,7
GET,/admin/users?page=5&limit=20&is_active=true,10,0,8,7.886447199985014,7.170147000010729,10.761377000108041,7086.0,0.1692495569848749,0.0,8,8,8,8,11,11,11,11,11,11,11
POST,/auth/login [admin],40,0,560,552.2245784250117,445.1081670000576,590.3274329999704,313.0,0.6769982279394996,0.0,560,570,580,580,580,590,590,590,590,590,590
POST,/auth/login [user],160,0,47,70.29566298124408,18.58995500003857,550.6067620000294,38.0,2.7079929117579984,0.0,47,55,60,65,79,100,540,550,550,550,550
GET,/orders [admin list],228,0,12,13.460886144737845,7.114593000096647,441.98874800008525,16718.657894736843,3.8588898992551477,0.0,12,12,13,13,14,15,20,42,440,440,440
GET,/products [init],24,0,23,23.6455132499979,12.852355000063653,49.57592499999919,11369.0,0.4061989367636998,0.0,23,24,26,27,29,30,50,50,50,50,50
GET,/products/<id>,1243,0,2,4.5674302091703005,0.7889290000093752,527.0462890000545,445.09654062751406,21.03771993321995,0.0,2,3,5,5,6,6,8,21,400,530,530
GET,/products?[filters],2523,0,2,3.873551096711172,0.7708499999807827,506.4006290000407,2786.925881886643,42.70166322728394,0.0,2,2,5,6,7,8,9,17,340,510,510
,Aggregated,4774,0,2,16.60555579095118,0.7708499999807827,590.3274329999704,2965.469417679095,80.79973850457928,0.0,2,6,7,8,43,73,85,500,580,590,590
