Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,364,0,95,1464.2186545957024,12.785067985532805,6031.940549000865,7982.0,4.486191875022771,0.0,95,2200,3700,4000,4500,4800,5500,6000,6000,6000,6000
GET,/admin/stats,1544,0,80,1493.224132727817,5.835568008478731,6023.688546003541,2820.1204663212434,19.0293413599867,0.0,80,2500,3700,4000,4700,5300,5700,5800,6000,6000,6000
GET,/admin/users?page=1&limit=20,112,0,76,1539.4633661419773,12.037523003527895,6002.677828015294,7119.0,1.3803667307762373,0.0,77,2700,3800,4000,4500,5100,5200,5800,6000,6000,6000
GET,/admin/users?page=1&limit=20&is_active=false,32,0,110,1525.6472381252024,13.711264007724822,5480.223510996439,7228.0,0.39439049450749636,0.0,120,3300,3500,3500,4500,5000,5500,5500,5500,5500,5500
GET,/admin/users?page=1&limit=20&is_active=true,22,0,84,2068.9000513626856,13.050462992396206,5002.872459008358,7119.0,0.27114346497390374,0.0,3500,3800,4000,4200,4500,5000,5000,5000,5000,5000,5000
GET,/admin/users?page=2&limit=20,107,0,91,1581.2054838140377,12.278865004191175,5978.682724991813,7205.0,1.318743216009441,0.0,91,3000,3700,4000,4700,5200,5500,5500,6000,6000,6000
GET,/admin/users?page=2&limit=20&is_active=false,25,0,24,1454.4755741208792,9.381090989336371,4459.50202998938,59.0,0.30811757383398153,0.0,24,3100,3300,3500,4000,4300,4500,4500,4500,4500,4500
GET,/admin/users?page=2&limit=20&is_active=true,21,0,110,1805.995896242426,12.058549007633701,5008.571473998018,7195.0,0.2588187620205445,0.0,110,3300,3800,3800,4200,4800,5000,5000,5000,5000,5000
GET,/admin/users?page=3&limit=20,103,0,85,1516.8138023460785,12.166125990916044,6016.857028007507,7150.0,1.2694444041960038,0.0,85,2800,3300,3700,4500,5300,5500,6000,6000,6000,6000
GET,/admin/users?page=3&limit=20&is_active=false,23,0,150,1773.1685786983808,11.783458990976214,5697.751444007736,59.0,0.283468167927263,0.0,150,3300,3500,3700,5000,5500,5700,5700,5700,5700,5700
GET,/admin/users?page=3&limit=20&is_active=true,16,0,67,1758.387469126319,16.090348013676703,5267.405004997272,7097.0,0.19719524725374818,0.0,100,3300,3800,3800,5000,5300,5300,5300,5300,5300,5300
GET,/admin/users?page=4&limit=20,108,0,34,1349.6668217059644,11.851844988996163,5761.280723992968,7224.0,1.3310679189628003,0.0,38,180,4000,4100,4500,4800,5000,5700,5800,5800,5800
GET,/admin/users?page=4&limit=20&is_active=false,21,0,120,1141.8003708088127,12.235866015544161,5971.405640011653,59.0,0.2588187620205445,0.0,120,200,2000,2200,3500,4000,6000,6000,6000,6000,6000
GET,/admin/users?page=4&limit=20&is_active=true,16,0,87,1587.2465696265863,15.891279006609693,4734.862946992507,7241.0,0.19719524725374818,0.0,110,3500,3800,3800,4500,4700,4700,4700,4700,4700,4700
GET,/admin/users?page=5&limit=20,116,0,40,1433.0517818179314,13.997330999700353,5979.898157995194,7088.0,1.4296655425896743,0.0,48,1500,3500,3800,4500,5000,5500,5800,6000,6000,6000
GET,/admin/users?page=5&limit=20&is_active=false,31,0,76,1922.2048105514277,12.35190499573946,5967.81269001076,59.0,0.3820657915541371,0.0,76,3800,4300,4300,5200,5500,6000,6000,6000,6000,6000
GET,/admin/users?page=5&limit=20&is_active=true,21,0,34,1505.6605130472842,15.740981994895265,5548.493617010536,7086.0,0.2588187620205445,0.0,34,110,4500,5000,5200,5500,5500,5500,5500,5500,5500
POST,/auth/login [admin],300,0,160,169.65562595966426,83.08104498428293,368.8764190010261,313.0,3.6974108860077783,0.0,160,180,200,210,260,320,330,370,370,370,370
POST,/auth/login [user],1200,0,210,221.6728072474507,33.63034100038931,555.2666890143882,38.0,14.789643544031113,0.0,210,240,270,280,330,370,440,480,550,560,560
GET,/orders [admin list],1224,0,96,1482.791403521701,14.14261999889277,6014.17497699731,16686.200980392157,15.085436414911735,0.0,96,2000,3700,4000,4500,5200,5700,5800,6000,6000,6000
GET,/products [init],12,0,41,44.25510700336114,18.053984007565305,138.00024901865982,11369.0,0.14789643544031114,0.0,42,43,47,47,55,140,140,140,140,140,140
GET,/products/<id>,6134,0,43,1225.3110784451223,1.7967300082091242,5992.503221990773,443.4747310074992,75.5997279159057,0.0,43,1000,3000,3300,4000,4500,5000,5500,5800,6000,6000
GET,/products?[filters],12298,0,50,1244.3440049231092,2.0013950124848634,6003.350546990987,2808.6807610993656,151.5691969204122,0.0,50,1200,3000,3300,4200,4500,5200,5500,6000,6000,6000
,Aggregated,23850,0,72,1215.0040783650265,1.7967300082091242,6031.940549000865,2937.1579874213835,293.9441654376184,0.0,72,330,3000,3300,4200,4700,5300,5500,6000,6000,6000
