Method,Name,Error,Occurrences,First Seen,Last Seen
GET,/admin/logs?limit=30,CatchResponseError(0),5,2026-06-22T15:08:06Z,2026-06-22T15:08:45Z
GET,/admin/users?page=4&limit=20,CatchResponseError(0),1,2026-06-22T15:08:22Z,2026-06-22T15:08:22Z
GET,/admin/users?page=3&limit=20&is_active=true,CatchResponseError(0),1,2026-06-22T15:08:35Z,2026-06-22T15:08:35Z
GET,/orders [admin list],CatchResponseError(0),9,2026-06-22T15:08:06Z,2026-06-22T15:08:45Z
GET,/products?[filters],CatchResponseError(0),94,2026-06-22T15:08:06Z,2026-06-22T15:08:47Z
GET,/admin/users?page=3&limit=20,CatchResponseError(0),2,2026-06-22T15:08:22Z,2026-06-22T15:08:47Z
GET,/admin/users?page=1&limit=20&is_active=true,CatchResponseError(0),1,2026-06-22T15:08:12Z,2026-06-22T15:08:12Z
GET,/admin/users?page=2&limit=20,CatchResponseError(0),1,2026-06-22T15:08:20Z,2026-06-22T15:08:20Z
GET,/admin/stats,CatchResponseError(0),20,2026-06-22T15:08:20Z,2026-06-22T15:08:48Z
GET,/admin/users?page=1&limit=20&is_active=false,CatchResponseError(0),1,2026-06-22T15:08:16Z,2026-06-22T15:08:16Z
GET,/products/<id>,CatchResponseError(0),58,2026-06-22T15:08:08Z,2026-06-22T15:08:48Z
