Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,201,0,16,30.947149984031192,12.445772998034954,932.2713779984042,7982.0,3.3975226642264778,0.0,16,16,17,17,19,62,200,320,930,930,930
GET,/admin/stats,717,0,9,22.26153599616105,5.742781009757891,2888.5557409957983,2819.005578800558,12.119521145524303,0.0,9,9,10,10,11,13,40,420,2900,2900,2900
GET,/admin/users?page=1&limit=20,47,0,15,20.184122850162353,12.37437198869884,172.19283498707227,7119.0,0.7944455981027088,0.0,15,15,16,16,18,20,170,170,170,170,170
GET,/admin/users?page=1&limit=20&is_active=false,7,0,16,171.4891365720957,14.61437699617818,1106.834472011542,7228.0,0.11832168482380769,0.0,16,17,17,17,1100,1100,1100,1100,1100,1100,1100
GET,/admin/users?page=1&limit=20&is_active=true,7,0,15,15.414355276984029,14.13452299311757,18.607293983222917,7119.0,0.11832168482380769,0.0,15,16,16,16,19,19,19,19,19,19,19
GET,/admin/users?page=2&limit=20,37,0,15,105.54458262049593,12.21385897952132,2702.1215230051894,7205.0,0.6254146197829835,0.0,15,16,17,17,21,600,2700,2700,2700,2700,2700
GET,/admin/users?page=2&limit=20&is_active=false,6,0,13,13.234754340373911,11.90715201664716,14.555375004420057,59.0,0.10141858699183516,0.0,13,13,14,14,15,15,15,15,15,15,15
GET,/admin/users?page=2&limit=20&is_active=true,10,0,15,14.879571599885821,13.589529000455514,16.320358990924433,7195.0,0.16903097831972527,0.0,15,15,16,16,16,16,16,16,16,16,16
GET,/admin/users?page=3&limit=20,51,0,15,22.046405021968646,12.702309002634138,126.50642602238804,7150.0,0.8620579894305989,0.0,15,16,17,17,19,97,110,130,130,130,130
GET,/admin/users?page=3&limit=20&is_active=false,11,0,12,16.701029724737797,10.141396982362494,41.29691599518992,59.0,0.1859340761516978,0.0,12,13,15,15,35,41,41,41,41,41,41
GET,/admin/users?page=3&limit=20&is_active=true,14,0,15,30.636548573966138,13.170074002118781,223.75100801582448,7097.0,0.23664336964761537,0.0,16,17,19,19,21,220,220,220,220,220,220
GET,/admin/users?page=4&limit=20,46,0,15,16.494218499840077,11.593267001444474,65.77812400064431,7224.0,0.7775425002707362,0.0,15,16,17,17,19,20,66,66,66,66,66
GET,/admin/users?page=4&limit=20&is_active=false,10,0,12,12.608876297599636,11.140629998408258,14.466865977738053,59.0,0.16903097831972527,0.0,12,13,14,14,14,14,14,14,14,14,14
GET,/admin/users?page=4&limit=20&is_active=true,10,0,15,14.88540290738456,11.956723988987505,17.08638301352039,7241.0,0.16903097831972527,0.0,16,16,16,16,17,17,17,17,17,17,17
GET,/admin/users?page=5&limit=20,56,0,15,20.497009233492594,12.331915990216658,105.3720619820524,7088.0,0.9465734785904615,0.0,16,16,17,18,19,95,96,110,110,110,110
GET,/admin/users?page=5&limit=20&is_active=false,7,0,13,12.702463568920004,11.296053999103606,14.779891993384808,59.0,0.11832168482380769,0.0,13,13,13,13,15,15,15,15,15,15,15
GET,/admin/users?page=5&limit=20&is_active=true,5,0,14,14.76688299444504,12.811939988750964,17.91313401190564,7086.0,0.08451548915986264,0.0,14,16,16,18,18,18,18,18,18,18,18
POST,/auth/login [admin],100,0,5300,5370.79973220767,2461.1024969781283,7645.422071014764,313.0,1.6903097831972527,0.0,5300,5800,6100,6400,7000,7100,7500,7600,7600,7600,7600
POST,/auth/login [user],400,0,430,1280.5901402862946,72.41526900907047,5375.033997988794,38.0,6.761239132789011,0.0,430,580,900,3500,4500,4800,5300,5300,5400,5400,5400
GET,/orders [admin list],494,0,21,31.129663346593574,13.713085994822904,2445.9781479963567,16735.65991902834,8.350130328994428,0.0,22,23,24,24,26,29,120,200,2400,2400,2400
GET,/products [init],4,0,31,66.4057737449184,21.81355800712481,174.04093497316353,11369.0,0.06761239132789011,0.0,39,39,170,170,170,170,170,170,170,170,170
GET,/products/<id>,2995,0,4,15.626527592048083,1.886173995444551,4867.925352999009,443.16661101836394,50.624778006757715,0.0,4,4,4,5,6,8,24,83,4200,4900,4900
GET,/products?[filters],6035,0,4,14.699562094609316,1.9865549984388053,5502.631812996697,2795.0735708367856,102.0101954159542,0.0,4,4,5,5,6,11,16,74,4400,5500,5500
,Aggregated,11270,0,4,109.41672534674109,1.886173995444551,7645.422071014764,2862.21801242236,190.49791256633037,0.0,4,5,7,9,18,140,1000,4600,7000,7500,7600
