Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/admin/logs?limit=30,37,0,16,18.73600056844864,12.672658020164818,90.4010369849857,7982.0,0.6259797614950291,0.0,16,16,16,16,17,65,90,90,90,90,90
GET,/admin/stats,157,0,9,14.444184731091461,5.857839016243815,318.78002698067576,2819.9681528662422,2.656184393370799,0.0,9,9,10,10,11,13,76,290,320,320,320
GET,/admin/users?page=1&limit=20,12,0,16,15.27707666294494,13.106441998388618,16.437696991488338,7119.0,0.203020463187577,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/admin/users?page=1&limit=20&is_active=true,1,0,16.09824798651971,16.09824798651971,16.09824798651971,16.09824798651971,7119.0,0.016918371932298084,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/admin/users?page=2&limit=20,11,0,15,15.359080907232551,12.670677999267355,18.114482023520395,7205.0,0.1861020912552789,0.0,15,16,16,16,17,18,18,18,18,18,18
GET,/admin/users?page=2&limit=20&is_active=false,3,0,13,13.162524002837017,12.47395301470533,13.986220001243055,59.0,0.05075511579689425,0.0,13,13,14,14,14,14,14,14,14,14,14
GET,/admin/users?page=2&limit=20&is_active=true,5,0,16,15.509709989419207,14.17123997816816,16.7059309897013,7195.0,0.08459185966149041,0.0,16,17,17,17,17,17,17,17,17,17,17
GET,/admin/users?page=3&limit=20,11,0,15,15.24809691049582,13.646302017150447,16.333918989403173,7150.0,0.1861020912552789,0.0,15,16,16,16,16,16,16,16,16,16,16
GET,/admin/users?page=3&limit=20&is_active=false,2,0,13.799117994494736,13.662914003361948,13.52671001222916,13.799117994494736,59.0,0.03383674386459617,0.0,14,14,14,14,14,14,14,14,14,14,14
GET,/admin/users?page=3&limit=20&is_active=true,2,0,14.010451996000484,16.19377099268604,14.010451996000484,18.377089989371598,7097.0,0.03383674386459617,0.0,18,18,18,18,18,18,18,18,18,18,18
GET,/admin/users?page=4&limit=20,9,0,15,14.852518891631108,12.582686002133414,16.99209399521351,7224.0,0.15226534739068276,0.0,15,15,16,17,17,17,17,17,17,17,17
GET,/admin/users?page=4&limit=20&is_active=false,3,0,13,13.193573007204881,12.792243011062965,13.807912007905543,59.0,0.05075511579689425,0.0,13,13,14,14,14,14,14,14,14,14,14
GET,/admin/users?page=4&limit=20&is_active=true,2,0,15.021403989521787,15.358859993284568,15.021403989521787,15.69631599704735,7241.0,0.03383674386459617,0.0,16,16,16,16,16,16,16,16,16,16,16
GET,/admin/users?page=5&limit=20,11,0,14,14.57746291205033,13.433226005872712,15.747205005027354,7088.0,0.1861020912552789,0.0,14,15,16,16,16,16,16,16,16,16,16
GET,/admin/users?page=5&limit=20&is_active=true,3,0,15,14.572175006226948,13.560535007854924,15.579632017761469,7086.0,0.05075511579689425,0.0,15,15,16,16,16,16,16,16,16,16,16
POST,/auth/login [admin],20,0,91,133.42643615033012,53.556770988507196,556.7714180215262,313.0,0.33836743864596164,0.0,91,92,120,120,510,560,560,560,560,560,560
POST,/auth/login [user],80,0,110,107.21868319960777,40.35994998412207,174.0772269840818,38.0,1.3534697545838466,0.0,110,120,130,140,150,150,160,170,170,170,170
GET,/orders [admin list],132,0,21,24.812719454833616,14.568596001481637,115.83790098666213,16778.871212121212,2.233225095063347,0.0,22,23,24,25,26,73,100,100,120,120,120
GET,/products [init],2,0,8.453312009805813,37.98064650618471,8.453312009805813,67.50798100256361,11369.0,0.03383674386459617,0.0,68,68,68,68,68,68,68,68,68,68,68
GET,/products/<id>,614,0,3,5.173173431162601,2.1705999970436096,84.76952501223423,443.7557003257329,10.387880366431023,0.0,3,4,4,4,10,11,18,41,85,85,85
GET,/products?[filters],1233,0,4,5.580893217960625,2.1146029757801443,86.0944009909872,2671.8742903487428,20.860352592523537,0.0,4,4,4,5,12,14,15,22,85,86,86
,Aggregated,2350,0,4,12.22838035331385,2.1146029757801443,556.7714180215262,2992.1795744680853,39.75817404090049,0.0,4,7,11,13,18,60,120,130,320,560,560
